# x_m,y_m,w_tr_right_m,w_tr_left_m
2.7500,5.0100,1.0440,1.0440
2.8000,5.0100,1.0548,1.0548
2.8500,5.0100,1.0607,1.0607
2.9000,5.0100,1.0595,1.0595
2.9500,5.0100,1.0440,1.0440
3.0000,5.0600,1.0440,1.0440
3.0500,5.0600,1.0595,1.0595
3.1000,5.0600,1.0607,1.0607
3.1500,5.1100,1.0440,1.0440
3.2000,5.1100,1.0595,1.0595
3.2500,5.1100,1.0689,1.0689
3.3000,5.1600,1.0308,1.0308
3.3500,5.1600,1.0440,1.0440
3.4000,5.1600,1.0595,1.0595
3.4500,5.1600,1.0735,1.0735
3.5000,5.2100,1.0440,1.0440
3.5500,5.2100,1.0595,1.0595
3.6000,5.2600,1.0308,1.0308
3.6500,5.3100,1.0062,1.0062
3.7000,5.3100,1.0198,1.0198
3.7500,5.3100,1.0308,1.0308
3.8000,5.3600,0.9962,0.9962
3.8500,5.3600,1.0124,1.0124
3.9000,5.4100,0.9849,0.9849
3.9500,5.4100,1.0062,1.0062
4.0000,5.4100,1.0000,1.0000
4.0500,5.4600,1.0062,1.0062
4.1000,5.4600,0.9862,0.9862
4.1500,5.4600,0.9618,0.9618
4.2000,5.4600,0.9394,0.9394
4.2500,5.5100,0.9657,0.9657
4.3000,5.5100,0.9487,0.9487
4.3500,5.5600,0.9823,0.9823
4.4000,5.5600,0.9708,0.9708
4.4500,5.5600,0.9618,0.9618
4.5000,5.6100,1.0050,1.0050
4.5500,5.6100,1.0012,1.0012
4.6000,5.6100,0.9962,0.9962
4.6500,5.6600,1.0296,1.0296
4.7000,5.6600,1.0124,1.0124
4.7500,5.7100,1.0012,1.0012
4.8000,5.7100,1.0050,1.0050
4.8500,5.7100,1.0112,1.0112
4.9000,5.7600,0.9708,0.9708
4.9500,5.8100,0.9341,0.9341
5.0000,5.8600,0.9014,0.9014
5.0500,5.8600,0.9192,0.9192
5.1000,5.9100,0.8860,0.8860
5.1500,5.9100,0.9014,0.9014
5.2000,5.9100,0.9192,0.9192
5.2500,5.9100,0.9394,0.9394
5.3000,5.9100,0.9179,0.9179
5.3500,5.9100,0.8944,0.8944
5.4000,5.9100,0.8732,0.8732
5.4500,5.9600,0.9014,0.9014
5.5000,5.9600,0.8860,0.8860
5.5500,6.0100,0.9220,0.9220
5.6000,6.0100,0.9124,0.9124
5.6500,6.0600,0.9014,0.9014
5.7000,6.0600,0.9124,0.9124
5.7500,6.1100,0.8732,0.8732
5.8000,6.1100,0.8860,0.8860
5.8500,6.1100,0.9014,0.9014
5.9000,6.1600,0.8732,0.8732
5.9500,6.1600,0.8860,0.8860
6.0000,6.2100,0.8544,0.8544
6.0500,6.2100,0.8732,0.8732
6.1000,6.2100,0.8944,0.8944
6.1500,6.2100,0.8746,0.8746
6.2000,6.2600,0.8944,0.8944
6.2500,6.2600,0.8732,0.8732
6.3000,6.3100,0.8860,0.8860
6.3500,6.3100,0.8860,0.8860
6.4000,6.3600,0.8732,0.8732
6.4500,6.3600,0.8860,0.8860
6.5000,6.4100,0.8544,0.8544
6.5500,6.4100,0.8732,0.8732
6.6000,6.4100,0.8732,0.8732
6.6500,6.4600,0.8732,0.8732
6.7000,6.4600,0.8732,0.8732
6.7500,6.4600,0.8500,0.8500
6.8000,6.5100,0.8732,0.8732
6.8500,6.5100,0.8500,0.8500
6.9000,6.5100,0.8276,0.8276
6.9500,6.5600,0.8544,0.8544
7.0000,6.5600,0.8382,0.8382
7.0500,6.6100,0.8732,0.8732
7.1000,6.6100,0.8544,0.8544
7.1500,6.6600,0.8860,0.8860
7.2000,6.6600,0.8732,0.8732
7.2500,6.7100,0.8732,0.8732
7.3000,6.7100,0.8860,0.8860
7.3500,6.7600,0.8544,0.8544
7.4000,6.8100,0.8276,0.8276
7.4500,6.8100,0.8500,0.8500
7.5000,6.8600,0.8322,0.8322
7.5500,6.8600,0.8602,0.8602
7.6000,6.9100,0.8500,0.8500
7.6500,6.9100,0.8485,0.8485
7.7000,6.9600,0.8485,0.8485
